iter	Passed	Remaining
395	1079	1647
396	1082	1643
397	1084	1640
398	1086	1636
399	1088	1633
400	1091	1629
401	1093	1626
402	1095	1623
403	1098	1619
404	1100	1616
405	1102	1613
406	1104	1609
407	1107	1606
408	1109	1603
409	1112	1601
410	1115	1598
411	1117	1594
412	1119	1591
413	1121	1588
414	1124	1585
415	1126	1582
416	1129	1579
417	1131	1575
418	1133	1572
419	1136	1569
420	1138	1565
421	1140	1562
422	1142	1559
423	1145	1555
424	1147	1552
425	1149	1549
426	1151	1545
427	1154	1542
428	1156	1539
429	1158	1535
430	1160	1532
431	1162	1529
432	1165	1525
433	1167	1522
434	1169	1519
435	1171	1515
436	1174	1512
437	1176	1509
438	1178	1506
439	1180	1502
440	1183	1499
441	1185	1496
442	1187	1493
443	1190	1490
444	1192	1486
445	1194	1483
446	1196	1480
447	1199	1477
448	1201	1474
449	1203	1471
450	1205	1467
451	1208	1464
452	1210	1461
453	1212	1458
454	1214	1455
455	1217	1452
456	1219	1449
457	1221	1445
458	1223	1442
459	1226	1439
460	1228	1436
461	1230	1433
462	1233	1430
463	1235	1427
464	1237	1423
465	1240	1420
466	1242	1417
467	1244	1414
468	1247	1412
469	1249	1409
470	1251	1405
471	1254	1402
472	1256	1399
473	1258	1396
474	1260	1393
475	1262	1390
476	1265	1387
477	1267	1384
478	1270	1381
479	1272	1378
480	1274	1375
481	1276	1372
482	1279	1369
483	1281	1365
484	1283	1362
485	1285	1359
486	1287	1356
487	1290	1353
488	1292	1350
489	1294	1347
490	1297	1344
491	1299	1341
492	1301	1338
493	1304	1335
494	1306	1332
495	1308	1329
496	1311	1326
497	1313	1323
498	1315	1320
499	1318	1318
500	1320	1315
501	1322	1311
502	1324	1308
503	1326	1305
504	1329	1302
505	1331	1299
506	1333	1296
507	1335	1293
508	1337	1290
509	1340	1287
510	1342	1284
511	1344	1281
512	1347	1279
513	1349	1276
514	1352	1273
515	1354	1270
516	1356	1267
517	1358	1264
518	1360	1261
519	1363	1258
520	1365	1255
521	1368	1252
522	1370	1249
523	1372	1246
524	1374	1243
525	1376	1240
526	1379	1237
527	1381	1234
528	1383	1231
529	1385	1229
530	1388	1226
531	1390	1223
532	1392	1220
533	1394	1217
534	1397	1214
535	1399	1211
536	1401	1208
537	1403	1205
538	1406	1202
539	1408	1199
540	1410	1196
541	1412	1193
542	1414	1190
543	1417	1187
544	1419	1185
545	1421	1182
546	1423	1179
547	1425	1176
548	1428	1173
549	1430	1170
550	1432	1167
551	1435	1164
552	1437	1161
553	1439	1158
554	1441	1155
555	1443	1153
556	1446	1150
557	1448	1147
558	1450	1144
559	1452	1141
560	1454	1138
561	1457	1135
562	1459	1132
563	1461	1129
564	1463	1127
565	1465	1124
566	1468	1121
567	1470	1118
568	1472	1115
569	1474	1112
570	1477	1109
571	1479	1107
572	1481	1104
573	1483	1101
574	1486	1098
575	1488	1095
576	1490	1092
577	1493	1090
578	1496	1087
579	1498	1085
580	1500	1082
581	1502	1079
582	1505	1076
583	1507	1073
584	1509	1070
585	1511	1068
586	1514	1065
587	1516	1062
588	1518	1059
589	1520	1056
590	1523	1054
591	1525	1051
592	1527	1048
593	1529	1045
594	1531	1042
595	1533	1039
596	1536	1036
597	1538	1034
598	1540	1031
599	1543	1028
600	1545	1025
601	1547	1023
602	1549	1020
603	1552	1017
604	1555	1015
605	1557	1012
606	1559	1009
607	1561	1006
608	1564	1004
609	1566	1001
610	1568	998
611	1570	995
612	1572	993
613	1575	990
614	1577	987
615	1579	984
616	1582	982
617	1584	979
618	1586	976
619	1588	973
620	1591	971
621	1593	968
622	1595	965
623	1597	962
624	1599	959
625	1602	957
626	1604	954
627	1606	951
628	1608	948
629	1610	946
630	1613	943
631	1615	940
632	1617	937
633	1620	935
634	1622	932
635	1624	929
636	1626	927
637	1629	924
638	1631	921
639	1634	919
640	1636	916
641	1638	913
642	1640	911
643	1643	908
644	1645	905
645	1647	902
646	1650	900
647	1652	897
648	1654	894
649	1656	892
650	1658	889
651	1660	886
652	1663	883
653	1665	881
654	1667	878
655	1669	875
656	1672	873
657	1674	870
658	1676	867
659	1678	864
660	1681	862
661	1683	859
662	1685	856
663	1687	854
664	1690	851
665	1692	848
666	1694	846
667	1697	843
668	1699	840
669	1701	837
670	1703	835
671	1705	832
672	1707	829
673	1710	827
674	1712	824
675	1714	821
676	1716	818
677	1718	816
678	1721	813
679	1723	810
680	1725	808
681	1727	805
682	1730	803
683	1732	800
684	1734	797
685	1737	795
686	1739	792
687	1741	789
688	1743	787
689	1745	784
690	1747	781
691	1750	778
692	1752	776
693	1754	773
694	1756	771
695	1759	768
696	1761	765
697	1763	762
698	1765	760
699	1767	757
700	1769	754
701	1771	752
702	1774	749
703	1776	746
704	1778	744
705	1780	741
706	1783	738
707	1785	736
708	1787	733
709	1790	731
710	1792	728
711	1794	725
712	1797	723
713	1799	720
714	1802	718
715	1804	715
716	1806	713
717	1808	710
718	1811	707
719	1813	705
720	1815	702
721	1818	700
722	1820	697
723	1822	694
724	1824	692
725	1827	689
726	1829	686
727	1831	684
728	1834	681
729	1836	679
730	1838	676
731	1840	673
732	1843	671
733	1846	668
734	1848	666
735	1851	664
736	1853	661
737	1856	659
738	1859	656
739	1861	654
740	1863	651
741	1866	649
742	1868	646
743	1870	643
744	1873	641
745	1876	638
746	1879	636
747	1881	633
748	1883	631
749	1886	628
750	1888	626
751	1891	623
752	1893	621
753	1895	618
754	1897	615
755	1900	613
756	1902	610
757	1904	608
758	1906	605
759	1909	602
760	1911	600
761	1913	597
762	1915	595
763	1918	592
764	1920	589
765	1922	587
766	1925	584
767	1927	582
768	1929	579
769	1932	577
770	1934	574
771	1936	572
772	1939	569
773	1941	566
774	1943	564
775	1945	561
776	1947	559
777	1950	556
778	1952	553
779	1954	551
780	1957	548
781	1959	546
782	1961	543
783	1963	541
784	1966	538
785	1968	535
786	1970	533
787	1972	530
788	1975	528
789	1977	525
790	1979	523
791	1982	520
792	1984	518
793	1986	515
794	1988	512
795	1991	510
796	1993	507
797	1995	505
798	1997	502
799	1999	499
800	2002	497
801	2004	494
802	2006	492
803	2009	489
804	2011	487
805	2013	484
806	2016	482
807	2018	479
808	2020	477
809	2022	474
810	2024	471
811	2027	469
812	2029	466
813	2031	464
814	2034	461
815	2036	459
816	2038	456
817	2041	454
818	2043	451
819	2046	449
820	2048	446
821	2050	444
822	2052	441
823	2054	438
824	2056	436
825	2059	433
826	2061	431
827	2063	428
828	2065	426
829	2067	423
830	2070	420
831	2072	418
832	2074	415
833	2076	413
834	2079	410
835	2081	408
836	2083	405
837	2085	403
838	2087	400
839	2090	398
840	2092	395
841	2094	393
842	2097	390
843	2099	388
844	2101	385
845	2103	382
846	2106	380
847	2108	377
848	2110	375
849	2112	372
850	2115	370
851	2117	367
852	2119	365
853	2122	362
854	2124	360
855	2126	357
856	2128	355
857	2130	352
858	2132	350
859	2135	347
860	2137	345
861	2139	342
862	2141	340
863	2144	337
864	2146	334
865	2148	332
866	2150	329
867	2152	327
868	2155	324
869	2157	322
870	2159	319
871	2161	317
872	2163	314
873	2166	312
874	2168	309
875	2170	307
876	2172	304
877	2174	302
878	2176	299
879	2178	297
880	2181	294
881	2183	292
882	2185	289
883	2188	287
884	2190	284
885	2192	282
886	2194	279
887	2197	277
888	2199	274
889	2201	272
890	2203	269
891	2206	267
892	2208	264
893	2210	262
894	2212	259
895	2215	257
896	2217	254
897	2219	252
898	2222	249
899	2224	247
900	2226	244
901	2228	242
902	2231	239
903	2233	237
904	2235	234
905	2238	232
906	2240	229
907	2242	227
908	2244	224
909	2246	222
910	2248	219
911	2251	217
912	2253	214
913	2256	212
914	2259	209
915	2261	207
916	2263	204
917	2266	202
918	2268	199
919	2270	197
920	2273	194
921	2275	192
922	2277	190
923	2279	187
924	2282	185
925	2284	182
926	2286	180
927	2288	177
928	2290	175
929	2293	172
930	2295	170
931	2297	167
932	2300	165
933	2302	162
934	2304	160
935	2306	157
936	2308	155
937	2311	152
938	2313	150
939	2315	147
940	2318	145
941	2320	142
942	2322	140
943	2324	137
944	2326	135
945	2329	132
946	2331	130
947	2333	128
948	2336	125
949	2338	123
950	2340	120
951	2342	118
952	2345	115
953	2347	113
954	2349	110
955	2352	108
956	2354	105
957	2356	103
958	2358	100
959	2361	98
960	2363	95
961	2365	93
962	2367	90
963	2370	88
964	2372	86
965	2374	83
966	2376	81
967	2378	78
968	2381	76
969	2383	73
970	2385	71
971	2387	68
972	2390	66
973	2392	63
974	2395	61
975	2397	58
976	2399	56
977	2402	54
978	2404	51
979	2406	49
980	2408	46
981	2411	44
982	2413	41
983	2415	39
984	2418	36
985	2420	34
986	2422	31
987	2425	29
988	2427	26
989	2429	24
990	2431	22
991	2434	19
992	2436	17
993	2438	14
994	2440	12
995	2443	9
996	2445	7
997	2447	4
998	2450	2
999	2452	0
